Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
WeDataNation,"Nov 14, 2022","Düsseldorf, Nordrhein-Westfalen,","Information Technology, Mobile Apps,",11-50,1,"€60,000",Pre-Seed,"Nov 14, 2022","€60,000",2,—,WeDataNation is a mobile application for analysis and regaining control of data.
TRONITY,Jan 2020,"Mannheim, Baden-Wurttemberg,","Automotive, Electric Vehicle, Software",1-10,1,—,Pre-Seed,"Feb 1, 2023",—,1,134,"TRONITY creates digital twins for EVs, giving fleets and drivers transparency on vehicle costs, condition, battery health, and more."
Matthias Anderer GmbH,2023,"Holzkirchen, Bayern, Germany","Analytics, Artificial Intelligence (AI),",1-10,1,"$500,000",Pre-Seed,"Nov 2, 2023","$500,000",—,—,"Matthias Anderer GmbH offers consulting services focused on AI, helping businesses develop functional data products and prototypes."
Geany,2021,"Cologne, Nordrhein-Westfalen,","Desktop Apps, Developer Tools,,",11-50,1,"A$190,000",Pre-Seed,"May 9, 2022","A$190,000",1,1,Geany is a text editor using the GTK+ toolkit with basic features of an integrated development environment.
VOIDS,2022,"Hamburg, Hamburg, Germany","B2B, E-Commerce, Software",1-10,1,"$20,000",Pre-Seed,"Sep 15, 2022","$20,000",1,—,VOIDS helps E-Commerce SMEs able to compete with big sharks such as Amazon or Zalando on eye level.
Terranigma Solutions,Mar 2020,"Aachen, Nordrhein-Westfalen,",Machine Learning,1-10,1,"€30,000",Pre-Seed,"Mar 1, 2020","€30,000",1,—,We bring your geological understanding to the next level.
Sapiema,"Jul 1, 2022","Berlin, Berlin, Germany","Artificial Intelligence (AI), Intelligent Systems,,",1-10,1,"€50,000",Pre-Seed,"Dec 20, 2022","€50,000",—,—,Plug'n Play Machine Learning - automate your ML development
BiMA,2024,"Munich, Bayern, Germany","EdTech, Electronics, Reading Apps",—,1,"€100,000",Pre-Seed,"Feb 10, 2024","€100,000",1,—,BiMA designs electronic devices and software aimed at enriching kids' reading.
Restack,2021,"Berlin, Berlin, Germany","Developer Platform, DevOps, Software",11-50,1,—,Pre-Seed,"Mar 30, 2021",—,9,1,"Restack provides the developer tools and cloud infrastructure to bring AI products into production in minutes, not months."
beeBlum,"Feb 20, 2020","Wiesloch, Baden-Wurttemberg,","B2B, Collaboration, Innovation Management,,,,",1-10,1,"€200,000",Pre-Seed,"Oct 4, 2019","€200,000",—,—,Ideation & Knowledge work framework for agile teams and corporations
Dadan,2024,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,",1-10,1,"$176,000",Pre-Seed,"Sep 2, 2024","$176,000",—,—,Dadan is an innovative screen recording and video creation platform
EcoBeam,2022,"Hamburg, Hamburg, Germany",Web Development,11-50,1,"€15,000",Pre-Seed,"Aug 11, 2022","€15,000",1,—,Ecobeam is a p2p for a greener future through improved resource allocation and a better climate.
MHSP Global Solutions,"Mar 3, 2022","Essen, Nordrhein-Westfalen, Germany","Outsourcing, Product Management,",1-10,1,"€125,000",Pre-Seed,"Mar 22, 2022","€125,000",2,—,"We provide world-class tech teams and solutions by sourcing, upskilling and enabling talent."
boost,2020,"Munich, Bayern, Germany","Artificial Intelligence (AI), Computer Vision,,,,,",1-10,1,"€120,000",Pre-Seed,"Jan 1, 2020","€120,000",—,—,ai based personal fitness assistant
Daliado,"Apr 1, 2021","Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Real Estate,",11-50,2,"$100,000",Pre-Seed,"Aug 27, 2021","$80,000",—,1,Flexible tokenized Second Home co-owning
ProcessM,2020,"Aachen, Nordrhein-Westfalen,","Business Intelligence, Data Integration,",1-10,1,"€30,000",Pre-Seed,"Oct 1, 2020","€30,000",1,—,ProcessM provides process mining tools for microsoft power BI users.
Unikraft,2021,"Heidelberg, Baden-Wurttemberg,","Cloud Computing, Virtualization",11-50,1,—,Pre-Seed,"Mar 23, 2023",—,2,2,The lightweight virtualization company.
Debtist,"Mar 21, 2023","Frankfurt, Hessen, Germany","Debt Collections, Embedded Software,,",11-50,1,—,Pre-Seed,"Oct 5, 2023",—,5,3,"Debtist is the one-stop shop for receivables management and debt collection in the fintech, e-commerce and software sectors"
formbricks,2022,"Kiel, Schleswig-Holstein, Germany","Embedded Software, Software,",1-10,2,—,Pre-Seed,"Nov 1, 2023",—,3,3,Formbricks is a micro-survey solution that is open source.
Vestlane,2022,"Berlin, Berlin, Germany","Angel Investment, Asset Management,,,,",11-50,1,—,Pre-Seed,"Sep 1, 2023",—,—,—,Vestlane is the private market transactions and fundraising platform.
Bruin,2023,"Berlin, Berlin, Germany","Analytics, Data Management, Database,",1-10,1,—,Pre-Seed,"Oct 8, 2023",—,1,—,Bruin is an online platform for data analysts that allows online data transformation with SQL and Python without any custom code.
Terramate,"May 15, 2023","Berlin, Berlin, Germany","Cloud Computing, Cloud Management,,,",11-50,1,—,Pre-Seed,"May 15, 2023",—,1,3,Terramate helps implement and maintain highly scalable Terraform projects.
StrategyBridgeAI,2022,"Munich, Bayern, Germany",Artificial Intelligence (AI),11-50,1,—,Pre-Seed,"Dec 3, 2024",—,3,—,StrategyBridgeAI technology provides automated business assessments that capture all necessary facts for informed decision-making.
roofline,"Mar 5, 2024","Aachen, Nordrhein-Westfalen,","Artificial Intelligence (AI), Machine Learning,,",1-10,1,—,Pre-Seed,"Jun 1, 2024",—,1,—,"On the mission to make AI deployment at the edge flexible, efficient, and easy."
ReachTeens,"Apr 1, 2020","Hamburg, Hamburg, Germany","Cloud Computing, Cloud Data Services,,",1-10,1,"€50,000",Pre-Seed,"Aug 15, 2020","€50,000",1,—,Consulting media companies for Gen-Z
dstack,Jan 2022,"Munich, Bayern, Germany","Artificial Intelligence (AI), Cloud Data Services,",1-10,1,—,Pre-Seed,"Jan 18, 2022",—,1,3,dstack is an open-source tool that enables defining ML workflows as code.
onu.energy,Apr 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Energy,,,",1-10,1,—,Pre-Seed,"Dec 1, 2023",—,1,—,"AI, B2B SaaS, Energy, Buying, Procurement"
BlazeSQL,"Feb 4, 2023","Berlin, Berlin, Germany","Artificial Intelligence (AI), Human Resources,,",11-50,2,—,Pre-Seed,"Jun 12, 2024",—,—,—,BlazeSQL is an AI-powered tool that helps you turn questions into data insights from your SQL database.
CATHAGO,Jan 2021,"Berlin, Berlin, Germany","Construction, SaaS, Software",11-50,1,—,Pre-Seed,"May 1, 2021",—,4,—,CATHAGO is a ConTech startup which increases efficiency in construction procurement with a cloud SaaS solution.
PULT,Mar 2021,"Hamburg, Hamburg, Germany","Enterprise Software, Human Resources,,",11-50,1,—,Pre-Seed,"Jan 1, 2022",—,—,3,"PULT helps modern companies run their office management on autopilot - from desk booking, to room booking, and visitor management."
beams,Nov 2021,"Berlin, Berlin, Germany","Apps, Consulting, SaaS, Software",1-10,2,—,Pre-Seed,"Jun 15, 2023",—,6,1,beams helps you navigate your workday with more focus and less stress
Libra,2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Legal Tech",1-10,1,—,Pre-Seed,"Feb 1, 2024",—,1,—,AI Sandbox for your law practice
Unosecur,"Feb 18, 2021","Berlin, Berlin, Germany","B2B, Cloud Security, Enterprise Software,",1-10,1,—,Pre-Seed,"Mar 1, 2021",—,1,—,Cloud Identity Threat Detection and Response Platform
Mirantus Health,"Jul 27, 2022","Berlin, Berlin, Germany","Health Care, Information Technology,",11-50,1,—,Pre-Seed,"Nov 30, 2022",—,9,1,Mirantus is building a distributed healthcare provider to improve access to care for underserved patients.
cre[ai]tion,2022,"Frankfort, Hessen, Germany","Artificial Intelligence (AI), Fashion,,",1-10,1,—,Pre-Seed,"Feb 15, 2023",—,1,—,creaitionis an interactive ai-based platform
Typst,2022,"Berlin, Berlin, Germany","Higher Education, Publishing,",1-10,1,—,Pre-Seed,"May 1, 2023",—,1,—,Write research papers and homework in the cloud. Focus on your text and let Typst take care of layout and formatting.
bliro,"Apr 5, 2022","Munich, Bayern, Germany","Artificial Intelligence (AI), Software,",1-10,1,—,Pre-Seed,"Mar 10, 2023",—,—,—,Bliro listens to business meetings and calls invisibly and extracts essential information with the help of AI.
fina,Oct 2020,"Berlin, Berlin, Germany","Financial Services, FinTech, Software,",11-50,1,—,Pre-Seed,"Oct 19, 2021",—,11,3,fina is the simplest wallet interface for beginners to start exploring crypto and DeFi safely.
Omnipeak.AI,2023,"Frankfurt An Der Oder, Brandenburg,","Artificial Intelligence (AI), Marketing,",11-50,1,—,Pre-Seed,"May 23, 2024",—,2,—,Omnipeak is an AI-powered software solution that automates account-based marketing campaigns.
Feniska,2021,"Berlin, Berlin, Germany","Information Technology, Pet, Software",11-50,2,—,Pre-Seed,"Mar 17, 2024",—,1,—,Feniska is a software company that provides smart devices with an integrated app to monitor pet health.
ECEON Robotics,2022,"Cologne, Nordrhein-Westfalen,","Artificial Intelligence (AI), Industrial Automation,,",11-50,1,—,Pre-Seed,"Mar 1, 2024",—,1,—,ECEON develops and operates next-generation autonomous mobile robots based on advanced artificial intelligence for intralogistics.
Lamin Labs,2022,"Munich, Bayern, Germany","Biotechnology, Data Integration,",1-10,1,—,Pre-Seed,"Aug 22, 2022",—,3,—,Lamin Labs develops data infrastructure for biology that enables data scientists and engineers to collaborate on a single data layer.
Widgetbook,Jan 2022,"Paderborn, Nordrhein-Westfalen,",Software,1-10,2,—,Pre-Seed,"Feb 1, 2024",—,10,—,Widgetbook is an open source collaboration platform for designers and developers
Kwest,2021,"Berlin, Berlin, Germany",Software,1-10,1,—,Pre-Seed,"Nov 29, 2021",—,3,4,"Renewable energy installers use Kwest to create visibility across their projects, optimize day-to-day operations, and automate manual tasks."
credium,"Jun 2, 2020","Augsburg, Bayern, Germany","Analytics, Artificial Intelligence (AI),,,,,,",11-50,1,—,Pre-Seed,"Feb 24, 2021",—,1,—,credium is an AI-company that concentrates on building analytics.
WeSort.AI GmbH,"Oct 15, 2021","Würzburg, Bayern, Germany","Artificial Intelligence (AI), Recycling,",11-50,2,—,Pre-Seed,"Jan 15, 2023",—,—,—,AI and Sensor based waste sorting
Sub Capitals GmbH,2021,"Munich, Bayern, Germany","Artificial Intelligence (AI), Financial Services,,,",1-10,1,—,Pre-Seed,"Sep 15, 2021",—,1,6,"Sub Capitals vision is to bring more equality to the financial markets. To achieve this, they are enabling AI in every investment process."
IKOSIA,"Dec 14, 2023","Berlin, Berlin, Germany","Energy Efficiency, Marketplace,,",1-10,1,—,Pre-Seed,"Dec 15, 2023",—,1,—,"IKOSIA sits at the intersection of ClimateTech and PropTech, serving as a single-point-of-contact for energy renovation"
STRYZA,2022,"Berlin, Berlin, Germany","Manufacturing, SaaS, Software",1-10,1,—,Pre-Seed,"Aug 1, 2022",—,2,—,B2B SaaS Application for industrial manufacturing.
Aparkado,"Feb 7, 2020","Cologne, Nordrhein-Westfalen,","Logistics, Software, Supply Chain Management",11-50,1,—,Pre-Seed,"Oct 1, 2021",—,—,—,We launched the LKW.APP to empower truck drivers in their everyday life by leveraging an innovative app.
Clypp,"Mar 24, 2020","Munich, Bayern, Germany","E-Learning, Information Services,,,,,",1-10,1,—,Pre-Seed,"Jun 1, 2022",—,1,1,Clypp empowers employees to share their knowledge through short video tutorials
accessia,"Apr 19, 2022","Berlin, Berlin, Germany","Business Development, Productivity Tools,",1-10,1,—,Pre-Seed,"May 1, 2022",—,1,—,Track and manage software subscriptions
Atem,2022,"Berlin, Berlin, Germany","CleanTech, Consulting, Software Engineering",11-50,1,—,Pre-Seed,"Oct 1, 2022",—,3,—,Atem offers tools for companies working with carbon credits at scale.
countX,"Nov 1, 2020","Berlin, Berlin, Germany","Financial Services, Software",11-50,1,—,Pre-Seed,"Apr 12, 2022",—,3,—,countX is an automated VAT compliance platform.
Spreadly,"Sep 22, 2022","Munich, Bayern, Germany",Software,1-10,1,—,Pre-Seed,"Aug 31, 2023",—,—,—,Spreadly provides sustainable digital business cards for companies of any size.
ModelMe,"Jul 16, 2021","Berlin, Berlin, Germany","Artificial Intelligence (AI), B2B,,",1-10,2,—,Pre-Seed,"Jan 30, 2022",—,2,2,ModelMe is generative B2B software that digitises the creation of fashion visuals.
AVES Reality,2022,"Garmisch-partenkirchen, Bayern,","Artificial Intelligence (AI), Mapping Services,",1-10,1,—,Pre-Seed,"Apr 25, 2024",—,3,—,AVES Reality creates AI-based software that generates virtual 3D maps of any location using data such as satellite and overflight images.
RAKETENSTART,Jul 2021,"Cologne, Nordrhein-Westfalen,","Advice, Information Technology,,,,,,,",11-50,1,—,Pre-Seed,"Mar 22, 2023",—,5,1,RAKETENSTART is the all-in-one-legal solution for SMEs.
tucan.ai,"Jun 1, 2020","Berlin, Berlin, Germany","Natural Language Processing,,,",11-50,2,—,Pre-Seed,"Sep 20, 2021",—,4,1,Your tool for more productive meetings.
essentry,2020,"Eschborn, Hessen, Germany","Artificial Intelligence (AI), B2B,,,,,",11-50,1,—,Pre-Seed,"Aug 1, 2020",—,1,—,Making identity verification and access management more efficient and secure.
rhome,2022,"Stuttgart, Baden-Wurttemberg,","Employment, Human Resources,,,,",1-10,2,—,Pre-Seed,"Oct 1, 2023",—,1,—,rhome is a SaaS solution that enables instantly analyses and mitigates legal and compliance risks for employees working abroad.
Dance Masterclass,2021,"Berlin, Berlin, Germany","E-Learning, Education, Training",1-10,1,—,Pre-Seed,"Dec 1, 2021",—,1,—,Dance Masterclass is an online dance training platform that allows anyone to learn from the dancers and choreographers in the world.
mavue,2022,"Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Software,",1-10,1,—,Pre-Seed,"Nov 1, 2022",—,1,—,mavue is the sustainability operating system for industrial companies.
FRATCH,"Nov 1, 2021","Munich, Bayern, Germany","Artificial Intelligence (AI), B2B,,",1-10,1,—,Pre-Seed,"Nov 1, 2021",—,—,1,"Your AI Assistant to find freelancers and interim managers in seconds – no recruiter calls needed, legally compliant, and cost-efficient"
The Story Market,2020,"Munich, Bayern, Germany","Artificial Intelligence (AI), Content Creators,,,,",1-10,1,—,Pre-Seed,"Sep 11, 2020",—,1,—,The Story Market provides content syndication and content analytics for publishers and content creators.
Wikimove,2022,"Bamberg, Bayern, Germany","Information Technology, Logistics,,",1-10,1,—,Pre-Seed,"Apr 14, 2022",—,1,—,Wikimove develops and creates a digital tool that shares visual reference of mobility status and transportation services.
ONINO,"Dec 21, 2021","Karlsruhe, Baden-Wurttemberg,","Blockchain, Data Storage, IT Infrastructure",1-10,1,—,Pre-Seed,"Apr 20, 2023",—,1,—,ONINO is building a graph-based decentralized network and helps companies leverage the power of Blockchain & Tokenization.
Codio Impact,"Feb 2, 2022","Berlin, Berlin, Germany","SaaS, Software, Sustainability",1-10,1,—,Pre-Seed,"Feb 8, 2022",—,3,—,"Codio Impact automates the way companies collect, manage and report their Environmental, Social, Governance (ESG) data."
RevoAI GmbH,2021,"Karlsruhe, Baden-Wurttemberg,","Information Technology, Software",1-10,3,—,Pre-Seed,"Aug 1, 2022",—,2,—,We enable engineers to deliver incredible products. Faster.
Visiocue,"Apr 15, 2024","Berlin, Berlin, Germany","Air Transportation, Artificial Intelligence (AI),,",1-10,1,—,Pre-Seed,"Apr 15, 2024",—,1,—,Visiocue is an AI startup improving airport logistics by preventing human errors in the BHS. Funded by BEUMER Group
Abowire,2020,"Berlin, Berlin, Germany","Information Technology, Internet,,,",11-50,1,—,Pre-Seed,"Jan 1, 2021",—,1,—,Abowire is an expert-driven solution to scale your recurring revenue. We fast-track your journey to subscription success.
Zenesis,2021,"Leipzig, Sachsen, Germany","Software, Web Development",1-10,1,—,Pre-Seed,"Oct 15, 2024",—,3,—,Zenesis intends to change the way engineering planning processes are carried out.
Ivy Protocol,2022,"Berlin, Berlin, Germany","Cryptocurrency, Funding Platform,",1-10,1,—,Pre-Seed,"Apr 13, 2022",—,1,—,Ivy Protocol is a carbon offset projects with the funding and resources.
mysupply,2020,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Procurement,,,",11-50,1,—,Pre-Seed,"Apr 6, 2022",—,1,—,"SaaS, Procurement, Tender Process, Supplier Search, Offer Evaluation, Strategy Engine, Automized Negotiations, Lot Creation, AI"
focused ai,"Aug 6, 2021","Ingelheim Am Rhein, Rheinland-Pfalz,","Artificial Intelligence (AI), Information Technology,",1-10,1,—,Pre-Seed,"Aug 6, 2021",—,3,1,AI-powered information distribution hub for construction companies: Making sure that all info finally ends up where it is supposed to be.
Heyrecruit,"May 8, 2020","Frankfurt, Hessen, Germany","Human Resources, Software",11-50,1,—,Pre-Seed,"Apr 1, 2021",—,1,—,Heyrecruit is an app that supports clients in the selection and communication with applicants.
Advoria,"Aug 29, 2023","Berlin, Berlin, Germany","Artificial Intelligence (AI), Legal,,,",1-10,1,—,Pre-Seed,"Oct 19, 2023",—,—,—,Online appointment booking for the successful law firm.
AIVITEX,May 2020,"Berlin, Berlin, Germany",Software,1-10,2,—,Pre-Seed,"Mar 1, 2022",—,—,—,We enable frontline workers to replace on-site visits with a video-aided software and to combine it with typical workflows.
Journeyman,2020,"Berlin, Berlin, Germany","Career Planning, Communities,,,,",11-50,1,—,Pre-Seed,"Dec 15, 2020",—,2,1,The leading career - and workforce management platform for the skilled trades
ShopVibes,2020,"Munich, Bayern, Germany",Software,1-10,1,—,Pre-Seed,"Nov 22, 2022",—,5,—,ShopVibes is a SaaS-based product information management company.
myhome.io,"May 31, 2023","Düsseldorf, Nordrhein-Westfalen,","PropTech, Real Estate, Software",1-10,1,—,Pre-Seed,"Apr 1, 2024",—,—,—,"SaaS, Mobile App, Prop Tech, Real estate portal"
Go Tiger,2022,"Berlin, Berlin, Germany","Apps, Delivery, E-Commerce, Grocery",11-50,1,—,Pre-Seed,"Apr 21, 2022",—,5,—,Go Tiger delivers groceries online.
Pointly,2021,"Berlin, Berlin, Germany","3D Technology, Analytics, Artificial Intelligence (AI),,,,,,,",1-10,2,—,Pre-Seed,"Nov 2, 2023",—,—,—,Pointly is a 3D point cloud classification platform offering AI techniques and tailor-made 3D AI solutions.
Pigtie,2020,"Munich, Bayern, Germany","Finance, FinTech, Mobile Apps,",1-10,2,—,Pre-Seed,"Aug 4, 2022",—,1,1,Pigtie is an app that enables people to start investing and tackle their whole financial planning.
Fronyx,2020,"Essen, Nordrhein-Westfalen, Germany","Artificial Intelligence (AI), Electric Vehicle,,,,,",—,1,—,Pre-Seed,"May 1, 2024",—,1,—,Fronyx develops online solutions using artificial intelligence for the electric vehicle industry.
Compounder,"Jul 1, 2020","Cologne, Nordrhein-Westfalen,","EdTech, Education, Higher Education,,",1-10,1,—,Pre-Seed,"Mar 31, 2023",—,3,—,Compounder is a platform through which students can apply to their desired universities with just one profile.
Qruise,2021,"Saarbrücken, Saarland, Germany","Artificial Intelligence (AI), Machine Learning,,,",11-50,2,—,Pre-Seed,"Dec 1, 2022",—,2,—,Machine Learning for Science - starting with Quantum Technologies
CooperHire,"Feb 12, 2020","Berlin, Berlin, Germany","Internet, Marketplace, Software",1-10,1,—,Pre-Seed,"Apr 4, 2020",—,1,—,CooperHire is a candidate-led job marketplace that aims to alleviate the agony and aggravation of looking for a new job.
vamos!,"Jan 15, 2021","Cologne, Nordrhein-Westfalen,",Mobile Apps,1-10,1,—,Pre-Seed,"Feb 12, 2022",—,1,3,vamos is a platform for spontaneous and friendly get-togethers among young people.
HARPOCRATES Solutions,"Apr 14, 2020","Berlin, Berlin, Germany","Automotive, Banking, Cloud Computing,,,,,,,",1-10,2,—,Pre-Seed,"Nov 19, 2020",—,2,21,"Provider of Forward Compliance for B2B and B2C Customers in context of GDPR, Basel III/IV and other regulations and contract understanding."
Finstep,"Apr 27, 2022","Hamburg, Hamburg, Germany","EdTech, Education, FinTech",1-10,1,—,Pre-Seed,"Jun 4, 2022",—,—,—,"Mobile App, Financial Education for GenZ"
getpantom,Feb 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Financial Services,",1-10,1,—,Pre-Seed,"Feb 1, 2023",—,1,—,getpantom helps early stage founders to find their Perfect Investors in Just 5 Minutes… with their AI-Driven Investor Search and Outreach
tracebloc,"Sep 29, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Enterprise Software,",1-10,1,—,Pre-Seed,"Sep 29, 2020",—,2,—,We help enterprises to easily identify and buy high-performance AI models for their specific use cases.
WebSniffer,2022,"Nuremberg, Bayern, Germany","Analytics, Big Data, Business Intelligence,,,,,,,",1-10,1,—,Pre-Seed,"May 1, 2022",—,—,26,An intelligence platform that tracks changes on the web and provides actionable insights
Candoora,2022,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Human Resources,,,",1-10,1,—,Pre-Seed,"Dec 1, 2022",—,1,—,Employee Performance Platform
haeppie,"Feb 12, 2021","Munich, Bayern, Germany","B2B, SaaS, Sales Automation,",1-10,1,—,Pre-Seed,"Apr 10, 2021",—,—,—,haeppie builds the workspace for sales teams.
Rephrasy,2022,"Gröbenzell, Bayern, Germany","Artificial Intelligence (AI), Information Technology,",1-10,2,—,Pre-Seed,"Jul 16, 2023",—,—,—,the world's most powerful AI Humanizer and AI-generated content detector.
emplu,2021,"Berlin, Berlin, Germany","Apps, Employee Benefits, Software",11-50,2,—,Pre-Seed,"May 10, 2022",—,8,—,emplu develops a software platform for building salary packages as diverse as the people involved.
saasmetrix,"Sep 2, 2021","Bielefeld, Nordrhein-Westfalen,","IT Management, Software",1-10,1,—,Pre-Seed,"Mar 1, 2022",—,—,—,"saasmetrix allows you to optimize your SaaS spending, accelerate your onboarding, and have all information you need just in one place!"
Ultimate,2021,"Berlin, Berlin, Germany","Blockchain, Information Technology,,,",11-50,1,—,Pre-Seed,"Jan 1, 2023",—,1,—,Ultimate is an information technology company that develops investment apps and web3 co-pilot for the navigation of crypto wallets.
Ventecon,Oct 2020,"Karlsruhe, Baden-Wurttemberg,","Artificial Intelligence (AI), B2B,,",1-10,1,—,Pre-Seed,"Nov 17, 2021",—,1,—,The AI Co-worker for Product Managers
"sooley - insoles, your way","Jan 1, 2021","Konstanz, Baden-Wurttemberg,","Digital Marketing, Health Diagnostics,,",1-10,1,—,Pre-Seed,"Dec 31, 2020",—,1,—,"B2B/B2C, Our revolutionary 3D scanning app empowers millions worldwide to obtain custom insoles directly"
Looks,2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Consumer Software,,,",1-10,1,—,Pre-Seed,"Jun 1, 2022",—,1,—,Looks is a mobile application that enables users to customize outfits based on the occasion.
Alocai,"Mar 1, 2021","Berlin, Berlin, Germany","Artificial Intelligence (AI), Software",11-50,1,—,Pre-Seed,"Oct 21, 2021",—,1,—,Alocai is an end-to-end game localization platform that integrates human creativity and AI to deliver superior gaming experiences.
Skytale,"Dec 9, 2020","Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Financial Services,",1-10,1,—,Pre-Seed,"Feb 15, 2021",—,—,4,Enterprise-grade crypto asset tracking and financial platform
House Of Change,2022,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Consulting,,,,,",1-10,1,—,Pre-Seed,"Nov 16, 2022",—,3,—,info.link brings every physical product to the digital world.
Qualiwise,2022,"Munich, Bayern, Germany","Artificial Intelligence (AI), Software",1-10,1,—,Pre-Seed,"Aug 27, 2024",—,1,—,Qualiwise has created software that digitizes the whole quality control process with the help of artificial intelligence.
recoupling,"May 28, 2021","Berlin, Berlin, Germany","Apps, Artificial Intelligence (AI),",1-10,2,—,Pre-Seed,"Aug 29, 2023",—,4,—,Recoupling is a mobile app that combines scientific findings from couples therapy with gamification.
Acalta,"Jan 11, 2021","Erlangen, Bayern, Germany","Health Care, Software",1-10,1,—,Pre-Seed,"Mar 11, 2022",—,1,1,Acalta is software for digital networking between patients and medical specialists.
Buildery,"Jun 25, 2024","Berlin, Berlin, Germany","Software, Web Development",1-10,1,—,Pre-Seed,"Aug 25, 2024",—,—,—,Modern low-code website builder
EasyQuant,"Jan 22, 2021","Berlin, Berlin, Germany","FinTech, Software, Trading Platform",1-10,1,—,Pre-Seed,"Dec 1, 2021",—,1,—,The first broker that gives you feedback and recommendations
Lichtwart,2020,"Herford, Nordrhein-Westfalen,","Cloud Computing, Internet of Things",1-10,1,—,Pre-Seed,"Sep 13, 2024",—,3,—,Lichtwart is a startup that creates a cloud control platform for efficiently controlling and maintaining lighting systems.
Deep LS,"Nov 26, 2021","Limburg, Hessen, Germany","Artificial Intelligence (AI), Bioinformatics,,,,",1-10,1,—,Pre-Seed,"Jan 1, 2022",—,—,—,"ML, AI, Drug Discovery"
Verbally,Jan 2021,"Berlin, Berlin, Germany","Consulting, Information Technology,",11-50,1,—,Pre-Seed,"Apr 20, 2021",—,2,—,Verbally develops and sales of software in the field of communication analysis.
One Coworking,2022,"Berlin, Berlin, Germany","Apps, Coworking, Environmental Consulting",1-10,1,—,Pre-Seed,"Nov 1, 2023",—,1,—,One Coworking is an app that creates hybrid work environments.
Alocai GmbH,2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Gaming,,",11-50,1,—,Pre-Seed,"Mar 16, 2021",—,—,—,Alocai is an end-to-end game localization platform that integrates human creativity and AI to deliver superior gaming experiences.
VYBE Beauty,"Dec 29, 2022","Cologne, Nordrhein-Westfalen,","Artificial Intelligence (AI), Beauty,,,,",1-10,1,—,Pre-Seed,"Feb 1, 2023",—,1,—,Developing and marketing the next generation of beauty consumer technologies.
Nonfig,Mar 2020,"Berlin, Berlin, Germany","B2B, Content Marketing, Software",1-10,1,—,Pre-Seed,"Mar 10, 2020",—,—,—,Nonfig is a configuration management platform that unifies business configurations.
IUNA.AI,Jun 2020,"Untergruppenbach, Baden-Wurttemberg,",Artificial Intelligence (AI),11-50,1,—,Pre-Seed,"Apr 7, 2022",—,1,—,IUNA.AI provides AI vision systems for industrial manufacturing.
Dissecto,"Apr 29, 2022","Regensburg, Bayern, Germany",Cyber Security,1-10,1,—,Pre-Seed,"Oct 28, 2022",—,1,—,"Dissecto is a security diagnostics, analytics, and solutions."
AcceleratorMatch,"Jan 1, 2023","Cologne, Nordrhein-Westfalen,","Information Technology, Service Industry,",1-10,1,—,Pre-Seed,"Feb 1, 2023",—,—,—,"Accelerator applications, on auto-pilot."
DeepImmo,"Jun 18, 2020","Munich, Bayern, Germany","Real Estate, Software",1-10,1,—,Pre-Seed,"May 23, 2022",—,—,—,DeepImmo offers real estate location analysis.
Character,Aug 2021,"Emmelshausen, Rheinland-Pfalz,","Consumer Software, Social, Software",1-10,1,—,Pre-Seed,"Aug 2, 2021",—,1,—,Friend-finding app based on thought-provoking questions
mySHOEFITTER,Aug 2020,"Hamm, Nordrhein-Westfalen, Germany","Artificial Intelligence (AI), E-Commerce,",1-10,1,—,Pre-Seed,"Oct 5, 2020",—,1,—,mySHOEFITTER is a biometric foot measurement technology for mobile devices.
TOOLUP,"Jan 2, 2021","Berlin, Berlin, Germany","Identity Management, Productivity Tools,",1-10,1,—,Pre-Seed,"Mar 1, 2021",—,—,—,"TOOLUP is a SaaS tools, identity, and invoice management app."
Mimetik,2020,"Dresden, Sachsen, Germany",Software,1-10,1,—,Pre-Seed,"Jan 25, 2021",—,1,1,Mimetik is s a software startup for seamless interactions with millions of devices.
priofy,"Jan 1, 2024","Erfurt, Thuringen, Germany","Financial Services, Software",1-10,1,—,Pre-Seed,"Jan 1, 2024",—,—,—,SaaS based project and financial management software: Efficiently manage the finances and costs of all your projects – in one place.
Mate Software GmbH,2020,"Bielefeld, Nordrhein-Westfalen,","Marketing, Software",11-50,1,—,Pre-Seed,"Aug 1, 2022",—,—,1,"We enable marketers, agencies and all other human beings to produce awesome content – without any design effort."
Intentify,2022,"Cologne, Nordrhein-Westfalen,","Software, Web Development",1-10,1,—,Pre-Seed,"Feb 14, 2024",—,3,—,Intentify is dApps' intent-centric middle layer.
